"10E,""13E"",""15E"",""18E"",""16E"",""17E"",""20E"",""22E"",""13E"",""25E"",""17E"",""19E"",""17E"",""19E"",""22E"",""24E"",""20E"",""22E"",""24E"",""25E"""
"2,""4"",""6A"",""7A"",""6A"",""7A"",""9A"",""10A"",""4"",""5A"",""7A"",""8A"",""7B"",""8B"",""10B"",""11B"",""9A"",""10B"",""AAB"",""12B"""
"2,""4"",""5A"",""7A"",""6A"",""7A"",""8A"",""9A"",""3"",""5A"",""7A"",""8A"",""7A"",""8A"",""9B"",""10A"",""8A"",""9A"",""11A"",""11A"""
"1,""3"",""5"",""6A"",""5A"",""6A"",""7A"",""9A"",""3"",""4"",""6A"",""7A"",""6A"",""7A"",""9B"",""10A"",""7A"",""9A"",""10A"",""11A"""
"1,""3"",""5"",""6A"",""5A"",""6A"",""7A"",""8A"",""2"",""4"",""6A"",""7A"",""6A"",""7A"",""8B"",""9A"",""7A"",""8A"",""9A"",""10A"""
"1,""2"",""4"",""5"",""4"",""5A"",""6A"",""7A"",""2"",""3"",""5A"",""6A"",""5A"",""6A"",""7B"",""8A"",""6A"",""6A"",""9A"",""9A"""
"0,""2"",""4"",""5"",""4"",""5"",""6A"",""7A"",""1"",""3"",""5"",""5A"",""5A"",""5A"",""7A"",""8A"",""6A"",""7A"",""8A"",""9A"""
"0,""1"",""3"",""4"",""3"",""4"",""5"",""6A"",""1"",""2"",""4"",""5A"",""4A"",""5A"",""6A"",""7A"",""5A"",""6A"",""8A"",""8A"""
"0,""1"",""3"",""4"",""3"",""4"",""5"",""5A"",""1"",""2"",""4"",""4"",""4A"",""4A"",""5A"",""6A"",""5A"",""5A"",""7A"",""7A"""
"0,""1"",""2"",""3"",""2"",""3"",""4"",""5"",""0"",""1"",""3"",""4"",""3A"",""4A"",""5A"",""6A"",""4"",""5A"",""6A"",""7A"""
"0,""0"",""2"",""3"",""2"",""3"",""3"",""4"",""0"",""1"",""3"",""3"",""3"",""3A"",""4A"",""5A"",""3"",""4A"",""6A"",""6A"""
"0,""0"",""1"",""2"",""1"",""2"",""3"",""4"",""0"",""1"",""2"",""3"",""2"",""3"",""4A"",""4A"",""3"",""4"",""5A"",""5A"""
"0,""0"",""1"",""2"",""1"",""2"",""2"",""3"",""0"",""0"",""2"",""2"",""2"",""2"",""3A"",""4A"",""2"",""3"",""4A"",""5A"""
"0,""0"",""1"",""1"",""1"",""1"",""2"",""2"",""0"",""0"",""1"",""2"",""1"",""2"",""2A"",""3"",""2"",""2"",""4"",""4A"""
"0,""0"",""0"",""1"",""0"",""1"",""1"",""2"",""0"",""0"",""1"",""1"",""1"",""1"",""2A"",""2"",""1"",""2"",""3"",""3"""
"0,""0"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""0"",""0"",""1"",""0"",""1"",""1A"",""2"",""1"",""1"",""2"",""3"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""0"",""1"",""2"",""2"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""0"",""0"",""1"",""1"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"0,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
